"BehaviorSpace results (NetLogo 6.0.2)"
"codeN9b.nlogo"
"500xdata0"
"12/18/2017 11:42:17:533 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","vr","C","memory-limit","experiment","[step]","count turts"
"181","1","100","100","1","1999","16"
"182","1","100","100","1","1999","17"
"184","1","100","100","1","1999","11"
"183","1","100","100","1","1999","16"
"185","1","100","100","1","1999","13"
"186","1","100","100","1","1999","18"
"187","1","100","100","1","1999","18"
"188","1","100","100","1","1999","21"
"189","1","100","100","1","1999","21"
"190","1","100","100","1","1999","10"
"192","1","100","100","1","1999","16"
"191","1","100","100","1","1999","19"
"193","1","100","100","1","1999","15"
"194","1","100","100","1","1999","17"
"195","1","100","100","1","1999","13"
"196","1","100","100","1","1999","19"
"197","1","100","100","1","1999","16"
"198","1","100","100","1","1999","17"
"199","1","100","100","1","1999","23"
"201","1","100","100","1","1999","14"
"200","1","100","100","1","1999","21"
"202","1","100","100","1","1999","12"
"203","1","100","100","1","1999","13"
"204","1","100","100","1","1999","15"
"206","1","100","100","1","1999","12"
"205","1","100","100","1","1999","17"
"207","1","100","100","1","1999","19"
"208","1","100","100","1","1999","10"
"210","1","100","100","1","1999","12"
"209","1","100","100","1","1999","19"
"211","1","100","100","1","1999","11"
"212","1","100","100","1","1999","22"
"213","1","100","100","1","1999","16"
"214","1","100","100","1","1999","20"
"215","1","100","100","1","1999","16"
"216","1","100","100","1","1999","15"
"217","1","100","100","1","1999","19"
"218","1","100","100","1","1999","20"
"219","1","100","100","1","1999","17"
"220","1","100","100","1","1999","20"
"221","1","100","100","1","1999","20"
"222","1","100","100","1","1999","19"
"223","1","100","100","1","1999","20"
"225","1","100","100","1","1999","15"
"226","1","100","100","1","1999","16"
"224","1","100","100","1","1999","23"
"227","1","100","100","1","1999","12"
"229","1","100","100","1","1999","17"
"230","1","100","100","1","1999","16"
"228","1","100","100","1","1999","23"
"231","1","100","100","1","1999","20"
"232","1","100","100","1","1999","13"
"234","1","100","100","1","1999","15"
"233","1","100","100","1","1999","20"
"235","1","100","100","1","1999","20"
"236","1","100","100","1","1999","18"
"237","1","100","100","1","1999","18"
"239","1","100","100","1","1999","12"
"238","1","100","100","1","1999","20"
"240","1","100","100","1","1999","15"
"243","1","100","100","1","1999","17"
"241","1","100","100","1","1999","20"
"242","1","100","100","1","1999","22"
"244","1","100","100","1","1999","13"
"245","1","100","100","1","1999","17"
"247","1","100","100","1","1999","17"
"246","1","100","100","1","1999","19"
"248","1","100","100","1","1999","23"
"250","1","100","100","1","1999","14"
"249","1","100","100","1","1999","18"
"251","1","100","100","1","1999","20"
"252","1","100","100","1","1999","14"
"253","1","100","100","1","1999","18"
"254","1","100","100","1","1999","16"
"255","1","100","100","1","1999","19"
"256","1","100","100","1","1999","18"
"257","1","100","100","1","1999","11"
"258","1","100","100","1","1999","21"
"259","1","100","100","1","1999","17"
"260","1","100","100","1","1999","19"
"261","1","100","100","1","1999","17"
"262","1","100","100","1","1999","17"
"263","1","100","100","1","1999","19"
"265","1","100","100","1","1999","14"
"264","1","100","100","1","1999","18"
"266","1","100","100","1","1999","13"
"268","1","100","100","1","1999","10"
"267","1","100","100","1","1999","17"
"269","1","100","100","1","1999","19"
"270","1","100","100","1","1999","19"
"271","1","100","100","1","1999","16"
"272","1","100","100","1","1999","18"
"273","1","100","100","1","1999","14"
"275","1","100","100","1","1999","17"
"274","1","100","100","1","1999","23"
"276","1","100","100","1","1999","14"
"277","1","100","100","1","1999","20"
"278","1","100","100","1","1999","20"
"279","1","100","100","1","1999","20"
"280","1","100","100","1","1999","20"
"281","1","100","100","1","1999","18"
"282","1","100","100","1","1999","18"
"283","1","100","100","1","1999","19"
"285","1","100","100","1","1999","17"
"284","1","100","100","1","1999","21"
"286","1","100","100","1","1999","15"
"287","1","100","100","1","1999","13"
"289","1","100","100","1","1999","15"
"288","1","100","100","1","1999","17"
"290","1","100","100","1","1999","19"
"292","1","100","100","1","1999","10"
"291","1","100","100","1","1999","20"
"293","1","100","100","1","1999","16"
"296","1","100","100","1","1999","12"
"294","1","100","100","1","1999","19"
"295","1","100","100","1","1999","22"
"297","1","100","100","1","1999","19"
"298","1","100","100","1","1999","12"
"300","1","100","100","1","1999","16"
"299","1","100","100","1","1999","19"
"301","1","100","100","1","1999","14"
"302","1","100","100","1","1999","15"
"303","1","100","100","1","1999","19"
"304","1","100","100","1","1999","22"
"305","1","100","100","1","1999","23"
"306","1","100","100","1","1999","20"
"308","1","100","100","1","1999","13"
"307","1","100","100","1","1999","15"
"310","1","100","100","1","1999","17"
"309","1","100","100","1","1999","18"
"312","1","100","100","1","1999","19"
"311","1","100","100","1","1999","19"
"314","1","100","100","1","1999","17"
"313","1","100","100","1","1999","26"
"316","1","100","100","1","1999","15"
"315","1","100","100","1","1999","20"
"317","1","100","100","1","1999","22"
"318","1","100","100","1","1999","13"
"320","1","100","100","1","1999","11"
"319","1","100","100","1","1999","15"
"322","1","100","100","1","1999","13"
"321","1","100","100","1","1999","14"
"323","1","100","100","1","1999","17"
"324","1","100","100","1","1999","18"
"325","1","100","100","1","1999","17"
"326","1","100","100","1","1999","22"
"327","1","100","100","1","1999","17"
"328","1","100","100","1","1999","22"
"330","1","100","100","1","1999","11"
"329","1","100","100","1","1999","17"
"332","1","100","100","1","1999","14"
"331","1","100","100","1","1999","19"
"335","1","100","100","1","1999","11"
"333","1","100","100","1","1999","18"
"334","1","100","100","1","1999","21"
"336","1","100","100","1","1999","14"
"337","1","100","100","1","1999","16"
"339","1","100","100","1","1999","14"
"340","1","100","100","1","1999","16"
"338","1","100","100","1","1999","23"
"341","1","100","100","1","1999","18"
"342","1","100","100","1","1999","18"
"343","1","100","100","1","1999","13"
"344","1","100","100","1","1999","24"
"346","1","100","100","1","1999","13"
"345","1","100","100","1","1999","19"
"347","1","100","100","1","1999","19"
"348","1","100","100","1","1999","15"
"349","1","100","100","1","1999","13"
"351","1","100","100","1","1999","8"
"350","1","100","100","1","1999","21"
"352","1","100","100","1","1999","17"
"353","1","100","100","1","1999","18"
"354","1","100","100","1","1999","12"
"355","1","100","100","1","1999","11"
"358","1","100","100","1","1999","12"
"356","1","100","100","1","1999","17"
"357","1","100","100","1","1999","18"
"359","1","100","100","1","1999","20"
"361","1","100","100","1","1999","12"
"360","1","100","100","1","1999","16"
"362","1","100","100","1","1999","15"
"363","1","100","100","1","1999","15"
"364","1","100","100","1","1999","14"
"365","1","100","100","1","1999","15"
"367","1","100","100","1","1999","15"
"368","1","100","100","1","1999","12"
"366","1","100","100","1","1999","26"
"369","1","100","100","1","1999","15"
"371","1","100","100","1","1999","18"
"370","1","100","100","1","1999","20"
"372","1","100","100","1","1999","19"
"373","1","100","100","1","1999","15"
"374","1","100","100","1","1999","14"
"375","1","100","100","1","1999","17"
"376","1","100","100","1","1999","16"
"377","1","100","100","1","1999","14"
"378","1","100","100","1","1999","19"
"379","1","100","100","1","1999","19"
"381","1","100","100","1","1999","15"
"380","1","100","100","1","1999","19"
"382","1","100","100","1","1999","17"
"383","1","100","100","1","1999","18"
"385","1","100","100","1","1999","18"
