"BehaviorSpace results (NetLogo 6.0.2)"
"codeN9b.nlogo"
"500xdata-Cs"
"12/17/2017 12:47:00:365 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","vr","C","memory-limit","experiment","[step]","count turts with [cooperative?]","count turts"
"161","2","10","100","1","1999","0","21"
"162","2","10","100","1","1999","0","24"
"163","2","10","100","1","1999","0","21"
"164","2","10","100","1","1999","0","23"
"165","2","10","100","1","1999","0","21"
"166","2","10","100","1","1999","0","20"
"168","2","10","100","1","1999","0","22"
"167","2","10","100","1","1999","0","27"
"169","2","10","100","1","1999","0","24"
"170","2","10","100","1","1999","0","22"
"172","2","10","100","1","1999","0","22"
"171","2","10","100","1","1999","0","22"
"173","2","10","100","1","1999","0","24"
"174","2","10","100","1","1999","0","24"
"176","2","10","100","1","1999","0","22"
"175","2","10","100","1","1999","0","24"
"177","2","10","100","1","1999","0","21"
"178","2","10","100","1","1999","0","22"
"179","2","10","100","1","1999","0","21"
"180","2","10","100","1","1999","0","24"
"181","2","10","100","1","1999","1","26"
"182","2","10","100","1","1999","0","22"
"183","2","10","100","1","1999","0","23"
"184","2","10","100","1","1999","0","21"
"186","2","10","100","1","1999","0","23"
"185","2","10","100","1","1999","0","24"
"187","2","10","100","1","1999","0","22"
"188","2","10","100","1","1999","1","23"
"189","2","10","100","1","1999","1","24"
"190","2","10","100","1","1999","0","23"
"191","2","10","100","1","1999","0","22"
"192","2","10","100","1","1999","0","22"
"193","2","10","100","1","1999","0","23"
"194","2","10","100","1","1999","0","24"
"195","2","10","100","1","1999","0","23"
"196","2","10","100","1","1999","0","23"
"197","2","10","100","1","1999","0","22"
"198","2","10","100","1","1999","0","25"
"199","2","10","100","1","1999","0","22"
"200","2","10","100","1","1999","0","23"
"201","2","10","100","1","1999","0","23"
"202","2","10","100","1","1999","0","24"
"203","2","10","100","1","1999","0","20"
"204","2","10","100","1","1999","0","24"
"205","2","10","100","1","1999","0","23"
"206","2","10","100","1","1999","0","22"
"207","2","10","100","1","1999","0","23"
"208","2","10","100","1","1999","0","20"
"209","2","10","100","1","1999","0","22"
"210","2","10","100","1","1999","0","20"
"211","2","10","100","1","1999","0","25"
"212","2","10","100","1","1999","0","23"
"213","2","10","100","1","1999","0","23"
"214","2","10","100","1","1999","0","22"
"215","2","10","100","1","1999","0","23"
"216","2","10","100","1","1999","0","23"
"217","2","10","100","1","1999","1","23"
"218","2","10","100","1","1999","0","22"
"219","2","10","100","1","1999","0","21"
"220","2","10","100","1","1999","0","24"
"221","2","10","100","1","1999","0","24"
