"BehaviorSpace results (NetLogo 6.0.2)"
"codeN9b.nlogo"
"500xdata-CsVR1"
"01/11/2018 16:43:24:969 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","vr","C","memory-limit","experiment","[step]","count turts with [cooperative?]","count turts"
"1","1","10","100","1","1999","0","12"
"3","1","10","100","1","1999","0","10"
"2","1","10","100","1","1999","0","13"
"4","1","10","100","1","1999","0","12"
"5","1","10","100","1","1999","0","13"
"7","1","10","100","1","1999","0","11"
"6","1","10","100","1","1999","0","11"
"8","1","10","100","1","1999","0","11"
"9","1","10","100","1","1999","0","12"
"10","1","10","100","1","1999","0","11"
"11","1","10","100","1","1999","0","11"
"12","1","10","100","1","1999","0","11"
"13","1","10","100","1","1999","0","12"
"14","1","10","100","1","1999","0","11"
"15","1","10","100","1","1999","0","13"
"16","1","10","100","1","1999","0","11"
"17","1","10","100","1","1999","0","12"
"18","1","10","100","1","1999","0","12"
"20","1","10","100","1","1999","0","9"
"19","1","10","100","1","1999","0","12"
"21","1","10","100","1","1999","0","9"
"22","1","10","100","1","1999","0","12"
"24","1","10","100","1","1999","0","10"
"23","1","10","100","1","1999","0","11"
"25","1","10","100","1","1999","0","11"
"26","1","10","100","1","1999","0","13"
"27","1","10","100","1","1999","0","11"
"28","1","10","100","1","1999","0","11"
"29","1","10","100","1","1999","0","11"
"30","1","10","100","1","1999","0","11"
"31","1","10","100","1","1999","0","10"
"32","1","10","100","1","1999","0","11"
"33","1","10","100","1","1999","0","12"
"36","1","10","100","1","1999","0","11"
"35","1","10","100","1","1999","0","12"
"34","1","10","100","1","1999","0","10"
"37","1","10","100","1","1999","0","10"
"39","1","10","100","1","1999","0","10"
"38","1","10","100","1","1999","0","11"
"40","1","10","100","1","1999","0","12"
"41","1","10","100","1","1999","0","11"
"44","1","10","100","1","1999","0","10"
"42","1","10","100","1","1999","0","12"
"43","1","10","100","1","1999","0","10"
"45","1","10","100","1","1999","0","10"
"46","1","10","100","1","1999","0","12"
"47","1","10","100","1","1999","0","11"
"48","1","10","100","1","1999","0","10"
"49","1","10","100","1","1999","0","10"
"52","1","10","100","1","1999","0","11"
"50","1","10","100","1","1999","0","11"
"51","1","10","100","1","1999","0","9"
"53","1","10","100","1","1999","0","11"
"54","1","10","100","1","1999","0","10"
"55","1","10","100","1","1999","0","11"
"56","1","10","100","1","1999","0","9"
"57","1","10","100","1","1999","0","12"
"59","1","10","100","1","1999","0","9"
"58","1","10","100","1","1999","0","12"
"60","1","10","100","1","1999","0","12"
"61","1","10","100","1","1999","0","12"
"63","1","10","100","1","1999","0","12"
"62","1","10","100","1","1999","0","12"
"64","1","10","100","1","1999","0","12"
"65","1","10","100","1","1999","0","11"
"67","1","10","100","1","1999","0","11"
"66","1","10","100","1","1999","0","12"
"68","1","10","100","1","1999","0","11"
"69","1","10","100","1","1999","0","12"
"70","1","10","100","1","1999","0","10"
"71","1","10","100","1","1999","0","10"
"72","1","10","100","1","1999","0","11"
"73","1","10","100","1","1999","0","11"
"75","1","10","100","1","1999","0","10"
"74","1","10","100","1","1999","0","11"
"76","1","10","100","1","1999","0","12"
"77","1","10","100","1","1999","0","11"
"79","1","10","100","1","1999","0","11"
"78","1","10","100","1","1999","0","11"
"80","1","10","100","1","1999","0","11"
"81","1","10","100","1","1999","0","12"
"82","1","10","100","1","1999","0","12"
"83","1","10","100","1","1999","0","12"
"84","1","10","100","1","1999","0","12"
"85","1","10","100","1","1999","0","11"
"86","1","10","100","1","1999","0","12"
"87","1","10","100","1","1999","0","10"
"88","1","10","100","1","1999","0","11"
"89","1","10","100","1","1999","0","13"
"90","1","10","100","1","1999","0","12"
"91","1","10","100","1","1999","0","11"
"92","1","10","100","1","1999","0","14"
"93","1","10","100","1","1999","0","13"
"94","1","10","100","1","1999","0","12"
"95","1","10","100","1","1999","0","10"
"96","1","10","100","1","1999","0","12"
"97","1","10","100","1","1999","0","10"
"98","1","10","100","1","1999","0","12"
"99","1","10","100","1","1999","0","11"
"100","1","10","100","1","1999","0","12"
"101","1","10","100","1","1999","0","11"
"102","1","10","100","1","1999","0","11"
"103","1","10","100","1","1999","0","11"
"104","1","10","100","1","1999","0","12"
"105","1","10","100","1","1999","0","12"
"106","1","10","100","1","1999","0","12"
"107","1","10","100","1","1999","1","12"
"109","1","10","100","1","1999","0","11"
"108","1","10","100","1","1999","0","10"
"110","1","10","100","1","1999","1","12"
"111","1","10","100","1","1999","0","13"
"112","1","10","100","1","1999","0","11"
"113","1","10","100","1","1999","0","12"
"114","1","10","100","1","1999","0","11"
"115","1","10","100","1","1999","0","10"
"116","1","10","100","1","1999","0","11"
"117","1","10","100","1","1999","0","12"
"119","1","10","100","1","1999","0","10"
"118","1","10","100","1","1999","0","13"
"120","1","10","100","1","1999","0","9"
"121","1","10","100","1","1999","0","9"
"122","1","10","100","1","1999","0","10"
"123","1","10","100","1","1999","0","11"
"124","1","10","100","1","1999","0","9"
"125","1","10","100","1","1999","0","11"
"126","1","10","100","1","1999","0","10"
"127","1","10","100","1","1999","0","10"
"128","1","10","100","1","1999","0","10"
"129","1","10","100","1","1999","0","11"
"130","1","10","100","1","1999","1","11"
"131","1","10","100","1","1999","0","11"
"132","1","10","100","1","1999","0","10"
"133","1","10","100","1","1999","0","12"
"134","1","10","100","1","1999","0","12"
"136","1","10","100","1","1999","0","11"
"135","1","10","100","1","1999","0","13"
"137","1","10","100","1","1999","0","11"
"138","1","10","100","1","1999","0","11"
"139","1","10","100","1","1999","0","11"
"140","1","10","100","1","1999","0","11"
"141","1","10","100","1","1999","1","12"
"142","1","10","100","1","1999","0","11"
"143","1","10","100","1","1999","0","13"
"144","1","10","100","1","1999","0","11"
"146","1","10","100","1","1999","0","12"
"147","1","10","100","1","1999","0","11"
"145","1","10","100","1","1999","0","13"
"148","1","10","100","1","1999","0","11"
"150","1","10","100","1","1999","0","12"
"149","1","10","100","1","1999","0","12"
